Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |     93.33 |     96.55 |     94.92 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |     93.33 |     96.55 |     94.92 |
UPOS       |      0.00 |      0.00 |      0.00 |      0.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |     30.00 |     31.03 |     30.51 |     32.14
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |     76.67 |     79.31 |     77.97 |     82.14
UAS        |     83.33 |     86.21 |     84.75 |     89.29
LAS        |     73.33 |     75.86 |     74.58 |     78.57
CLAS       |     65.00 |     68.42 |     66.67 |     72.22
MLAS       |      0.00 |      0.00 |      0.00 |      0.00
BLEX       |     45.00 |     47.37 |     46.15 |     50.00
