Evaluation arguments: --GroupBy Wordform -g L95/important/data/ud_ewt_treebank/gold_ewt-ud-test.conllx -s L95/important/data/ud_ewt_treebank/maltParser/malt-out.conllx
====================================================
Gold:   L95/important/data/ud_ewt_treebank/gold_ewt-ud-test.conllx
Parsed: L95/important/data/ud_ewt_treebank/maltParser/malt-out.conllx
====================================================
GroupBy-> Wordform
Metric-> LAS

====================================================

accuracy /    Wordform
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.841         !
0.75          !!
0.769         !!!
1             !!!!
1             !!!!!!
1             !!!!!!!!!!!!!!!!!!!
1             !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0.458         "
0.125         #
0.161         $
0.6           %
0.722         &
0.44          '
1             '000's
0             '67
0             '68
0             '70
0             '71
0             '72
0.5           '73
1             '74
1             'S
1             'd
0.947         'll
0.923         'm
0.909         're
0.826         's
1             've
0.554         (
0             (:
0.435         )
0.455         *
0.727         **
1             *******************
0             +
0             +++
0.396         ,
0.333         -
0             --
0.333         ---
1             ----
0             ------
0             ------------------------------
0             -----=
0             -----==
0.809         .
1             .!
0.417         ..
0.286         ...
0.571         ....
0.5           .....
1             .?
0             .vcf
0.189         /
0             0
0             01-Feb-02
0             01/24/2001
0             0102
0             01040-2841
0             01634
0             02/28/2001
1             02:29
1             02:45:50
0             03/23/2001
0             03/26/2001
1             03:10:35
1             03:16
1             03:17:01
1             03:22
1             03:51
1             04:41
1             05:12:00
1             05:54
1             06
0             06/02/2001
0             06/04/2001
0             06/12/2000
1             07/06/2000
0             07551310002
1             07:03:00
1             07:18:20
0             08759
1             08:58
0             09/08/2000
0             09/20/2000
1             09:32
1             09:36
1             09:36:00
1             09:55
0.5           1
0             1,250,000
0             1,993,045
1             1/2
1             1/29/02
0.6           10
0             10,000
0             10,274,494
0             10.0
1             10.000.000
1             10.2
0             100
1             100,000
1             101
0             1027
1             10461
0             10468
1             10469
1             1051
0             108.333
1             10:20
1             10:53
0.333         11
0             11/14/2000
0             11/15/2000
0             11/20/2004
1             110,555
0             112,610
1             11:16:25
1             11:21
1             11:37
1             11:58
0.75          12
0             12,514,373
0             12/07/2000
1             12:15
1             12:24
0             12:30
0.667         13
0             13s
0             13th
1             1400
1             14:57
0             14th
1             15
1             15,000
0             150
1             1552
1             1559
0             16
0             166,960
0             16th
0             17
1             17611
0             1776
1             17th
0             18
1             185
0.333         19
1             19,250,000
0             1946
1             195,610
0             1954
0             1957
0             1966
0             1974
0             1975
