Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |     24841 |     25096 |     25071 |          
Sentences  |      1455 |      2077 |      1786 |          
Words      |     24841 |     25096 |     25071 |     24841
UPOS       |     23484 |     25096 |     25071 |     24841
XPOS       |     23343 |     25096 |     25071 |     24841
UFeats     |     23730 |     25096 |     25071 |     24841
AllTags    |     22989 |     25096 |     25071 |     24841
Lemmas     |     24051 |     25096 |     25071 |     24841
UAS        |      8572 |     25096 |     25071 |     24841
LAS        |      6176 |     25096 |     25071 |     24841
CLAS       |      3889 |     15155 |     16865 |     14982
MLAS       |      3207 |     15155 |     16865 |     14982
BLEX       |      3717 |     15155 |     16865 |     14982
