Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |     99.08 |     98.98 |     99.03 |
Sentences  |     81.47 |     70.05 |     75.33 |
Words      |     99.08 |     98.98 |     99.03 |
UPOS       |     93.67 |     93.58 |     93.62 |     94.54
XPOS       |     93.11 |     93.01 |     93.06 |     93.97
UFeats     |     94.65 |     94.56 |     94.60 |     95.53
AllTags    |     91.70 |     91.60 |     91.65 |     92.54
Lemmas     |     95.93 |     95.84 |     95.88 |     96.82
UAS        |     34.19 |     34.16 |     34.17 |     34.51
LAS        |     24.63 |     24.61 |     24.62 |     24.86
CLAS       |     23.06 |     25.66 |     24.29 |     25.96
MLAS       |     19.02 |     21.16 |     20.03 |     21.41
BLEX       |     22.04 |     24.53 |     23.22 |     24.81
