Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |     99.08 |     98.98 |     99.03 |
Sentences  |     81.47 |     70.05 |     75.33 |
Words      |     99.08 |     98.98 |     99.03 |
UPOS       |      0.00 |      0.00 |      0.00 |      0.00
XPOS       |     92.85 |     92.76 |     92.80 |     93.71
UFeats     |     33.35 |     33.32 |     33.34 |     33.66
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |     96.73 |     96.63 |     96.68 |     97.62
UAS        |     77.26 |     77.18 |     77.22 |     77.97
LAS        |     73.11 |     73.04 |     73.07 |     73.79
CLAS       |     68.75 |     68.88 |     68.82 |     69.68
MLAS       |      0.00 |      0.00 |      0.00 |      0.00
BLEX       |     67.08 |     67.21 |     67.15 |     67.99
